date,question,text,tweetid,userid,username
 Wed Dec 05 05:41:45 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet," SEVERE WEATHER BULLETIN #12TROPICAL CYCLONE WARNING: TYPHOON ""#PabloPHäó� (BOPHA) ISSUED AT 11:00 AM 05 (cont) http://t.co/KvuyR5Gv",2.76E17,202890266, dost_pagasa
 Wed Dec 05 05:52:30 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Weather News Updates: All warning signals in Mindanao lifted as 'Pablo' weakens http://t.co/DenOm0JK via @ABSCBNNews  #PabloPH,2.76E17,415669188, IloveTaguig1
 Wed Dec 05 06:15:55 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Storm horror in ComVal: 66 dead 200 missing http://t.co/ShMuz8im via @ABSCBNNews #PabloPH,2.76E17,143739132, JojoMalig
 Wed Dec 05 06:51:52 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,"  | äóì@maria_ressa: Watch #RapplerNewscast #PabloPH #RHbill watch exchange of senators on ""safe satisfying sex"" http://t.co/wcjhG2eBäó�",2.76E17,61672547, thepillpusher
 Wed Dec 05 08:12:45 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,  @taopoll:  @mindanaoan: #ReliefPH and #RescuePH needed in Bukidnon badly. Pls help me inform (cont) http://t.co/2yr3pt7Z,2.76E17,232515089, bellasone
 Wed Dec 05 08:20:56 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Dumaguete city port after Pablo's wrath. #PabloPH http://t.co/LkHUypZ4,2.76E17,27385388, sexytwixgal
 Wed Dec 05 09:29:44 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, At 04:00PM 12/05/2012 eye of #PabloPH located at 110km Northwest of Roxas Northern Palawan... http://t.co/6HRq75a5 | via @dost_pagasa,2.76E17,192849591, pcdspo
 Wed Dec 05 09:38:24 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, #PabloPHhttp://t.co/xzPR1QPH,2.76E17,204857375, itsmiadurano
 Wed Dec 05 04:56:13 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,  @ABSCBNNews: Help for #PabloPH victims: Cashgoods can be dropped at @ABSCBN Sagip Kapamilya (cont) http://t.co/9Harr8ID,2.76E17,150537267, dyosang_UBE
 Wed Dec 05 05:09:10 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, #PabloPH Update via DZMM TeleRadyo PAGASA: Signal No.1 äóñ Occidental Mindoro kabäó_ http://t.co/WkcDrgOz #news,2.76E17,456287449, ItsMoreFUNinPH
 Wed Dec 05 07:27:22 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Salute to our soldiers who risk their lives saving other people #PabloPH http://t.co/63LbX01Q,2.76E17,87127358, ritzpc
 Wed Dec 05 07:31:28 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, P3.29M relief assistance released for victims of Pablo http://t.co/ughseDOb #ReliefPH  #PabloPH @dinkysunflower @PresidentNoy @govph,2.76E17,857545177, dswdserves
 Wed Dec 05 08:03:35 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, VIDEO: Typhoon #Bopha: Severe flooding in #Philippines as death toll rises http://t.co/B0dqAM3e,2.76E17,406920715, k_durrans
 Wed Dec 05 08:28:14 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Situationer on Typhoon #PabloPH from Secretary @MARoxas as of 2 p.m. of December 5 2012: http://t.co/Wcr1DLGh | via @govph,2.76E17,192849591, pcdspo
 Wed Dec 05 08:48:32 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,  @nababaha: Latest position and track of #PabloPH. http://t.co/p2VppdfI,2.76E17,854475534, AllaneLenoa
 Wed Dec 05 09:10:20 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Philippines.ŒæLe typhon Bopha a faitŒæ au moins 115 morts http://t.co/VYLdeEst #Bopha #fait #Moins #morts #Philippines.ŒæLe,2.76E17,411801550, Nouvellesdumond
 Wed Dec 05 09:28:52 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, @dinkysunflower @mlq3 @juLiusbabao @Karen_DaviLa @noynoyaquino please #helpMONKAYO-municipal health center #PabloPH http://t.co/PrQUmyDS,2.76E17,419198996, tintinongbay
 Wed Dec 05 10:01:54 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, äóì@ANCALES: How you can help victims of Typhoon Pablo through Sagip Kapamilya http://t.co/6zXLCGc6 #PabloPH #ReliefPHäó�,2.76E17,26047035, aldrin002
 Wed Dec 05 05:54:00 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, @robertspeta It gets worse. Death toll rising #Bopha -Ph biggest typhoon kills 82 many buried under mud http://t.co/qYGraj3g via @Reuters,2.76E17,136562356, Mai_Rodrigz
 Wed Dec 05 06:05:16 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, äóì@RANews: Death toll fr/Typhoon #Bopha now stands at 97 with hundreds still missing in #Philippines http://t.co/FLvERS6Gäó� under mud-flooding,2.76E17,18945060, HUMNEWS
 Wed Dec 05 08:38:27 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,  @mayanimosity: @rapplerdotcom: IN PHOTOS: Lives destroyed by 'Pablo' http://t.co/Nbf9Eqli #PabloPH #Bopha --envt'l effects of #Mining ...,2.76E17,171849865, WebStalker
 Wed Dec 05 09:07:41 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, PAGASA: At 3PM the eye of Typhoon #PabloPH was located at 100km Northwest of Roxas Northern Palawan (11.1ŒÁN 118.8ŒÁE). http://t.co/mhPruOXb,2.76E17,535206101, iloveLanceAdion
 Wed Dec 05 09:58:23 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Ur take?  @cmfr: Preparing for typhoon-related calamities: How can the press help? http://t.co/kb9Adjip #QOTW #PabloPH #rescuePH #reliefPH,2.76E17,2798621, hbmacale
 Wed Dec 05 10:06:56 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,  @TIME: More than 200 killed in the Philippines by Typhoon #Bopha | http://t.co/fWfm3VvJ (via @TIMEWorld),2.76E17,258897214, BC340
 Wed Dec 05 11:15:30 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Supertyphoon #Bopha makes landfall in the #Philippines; 200+ fatalities (#satellite images & #map): http://t.co/IHdSsgB0 #geographyteacher,2.76E17,15014642, srmdrummer
